location,category,parentCategory
"Wichita Falls, Texas",Urban Attractions,Urban & Downtown
"Mojave, California",Natural attractions,Nature & Outdoors
"Gig Harbor, Washington",Natural attractions,Nature & Outdoors
"North Miami Beach, Florida",Beaches,Beach & Waterfront
"Adelanto, California",Residential,Residential
"Tuba City, Arizona",Natural attractions,Nature & Outdoors
"Manchester, New Hampshire",Urban Attractions,Urban & Downtown
"Baraboo, Wisconsin",Natural attractions,Nature & Outdoors
"Novi, Michigan",Residential,Residential
"New Harbor, Maine",Beaches,Beach & Waterfront
"Hulbert, Oklahoma",Residential,Residential
"Yellow Springs, Ohio",Residential,Residential
"Brookings, Oregon",Beaches,Beach & Waterfront
"Sherman Oaks, California",Residential,Residential
"Emerald Bay, California",Natural attractions,Nature & Outdoors
"World Trade Center, New York",Urban Attractions,Urban & Downtown
"Panama City Beach, Florida",Beaches,Beach & Waterfront
"Hartford, Connecticut",Urban Attractions,Urban & Downtown
"East Palo Alto, California",Residential,Residential
"Augusta, Georgia",Urban Attractions,Urban & Downtown
"Dayton, Ohio",Urban Attractions,Urban & Downtown
"St. Johns County, Florida",Residential,Residential
"Arroyo Grande, California",Residential,Residential
"Sarasota, Florida",Beaches,Beach & Waterfront
"Pensacola, Florida",Beaches,Beach & Waterfront
"Arcadia, California",Residential,Residential
"Rehoboth Beach, Delaware",Beaches,Beach & Waterfront
"Buffalo Grove, Illinois",Residential,Residential
"Fire Island, New York",Beaches,Beach & Waterfront
"Idaho Falls, Idaho",Natural attractions,Nature & Outdoors
"Highline Park, New York City",Urban Attractions,Urban & Downtown
"Southwest Harbor, Maine",Beaches,Beach & Waterfront
"Olancha, California",Natural attractions,Nature & Outdoors
"Edwardsville, Illinois",Residential,Residential
"Jamestown, California",Historical,Historical & Cultural
"Monroe, Pennsylvania",Residential,Residential
"Framingham, Massachusetts",Residential,Residential
"Marble Canyon, Arizona",Natural attractions,Nature & Outdoors
"Tonopah, Nevada",Natural attractions,Nature & Outdoors
"La Push, Washington",Beaches,Beach & Waterfront
"Palo Alto, California",Urban Attractions,Urban & Downtown
"Towaoc, Colorado",Natural attractions,Nature & Outdoors
"Lake Isabella, California",Natural attractions,Nature & Outdoors
"Pelican Rapids, Minnesota",Natural attractions,Nature & Outdoors
"Fair Lawn, New Jersey",Residential,Residential
"Nassau County, New York",Urban Attractions,Urban & Downtown
"University Heights, Ohio",Residential,Residential
"Montezuma, New Mexico",Natural attractions,Nature & Outdoors
"American Beach, Florida",Beaches,Beach & Waterfront
"Cleveland Heights, Ohio",Residential,Residential
"Oxnard, California",Beaches,Beach & Waterfront
"Ridgefield Park, New Jersey",Residential,Residential
"West Hills, California",Residential,Residential
"Colter Bay Village, Wyoming",Natural attractions,Nature & Outdoors
"Montgomery County, Ohio",Residential,Residential
"Rockport, Massachusetts",Beaches,Beach & Waterfront
"Livermore, California",Wine Region,Entertainment & Culture
"Palm Beach, Florida",Beaches,Beach & Waterfront
"Versailles, Pennsylvania",Residential,Residential
St. Louis Arch,Landmarks and Monuments,Historical & Cultural
"Rosemary Beach, Florida",Beaches,Beach & Waterfront
"Davisville, Missouri",Natural attractions,Nature & Outdoors
"Atascadero, California",Residential,Residential
"Bentonville, Arkansas",Urban Attractions,Urban & Downtown
"Panguitch Lake Resort, Utah",Natural attractions,Nature & Outdoors
"Fort Pierce, Florida",Beaches,Beach & Waterfront
"Breckenridge, Colorado",Skiing,Sports & Recreation
"Amelia City, Florida",Beaches,Beach & Waterfront
"Long Branch, New Jersey",Beaches,Beach & Waterfront
"Homewood, Alabama",Residential,Residential
"Gillette, Wyoming",Natural attractions,Nature & Outdoors
"Hambden, Ohio",Residential,Residential
"Hanksville, Utah",Natural attractions,Nature & Outdoors
"North Topsail Beach, North Carolina",Beaches,Beach & Waterfront
"Pacific Grove, California",Beaches,Beach & Waterfront
"Panguitch, Utah",Natural attractions,Nature & Outdoors
"Drumore, Pennsylvania",Residential,Residential
"Lindcove, California",Residential,Residential
"Orland Park, Illinois",Residential,Residential
"Metuchen, New Jersey",Residential,Residential
"Scranton, Pennsylvania",Urban Attractions,Urban & Downtown
"Hillsboro, Oregon",Urban Attractions,Urban & Downtown
"West Yellowstone, Montana",Natural attractions,Nature & Outdoors
"Solon, Ohio",Residential,Residential
"Indian Wells, California",Golf,Sports & Recreation
"Bloomingdale, Illinois",Residential,Residential
"Concord, New Hampshire",Urban Attractions,Urban & Downtown
"Lafayette, Indiana",Urban Attractions,Urban & Downtown
"Tucson, Arizona",Urban Attractions,Urban & Downtown
"Wells Beach, Maine",Beaches,Beach & Waterfront
"Cardiff-by-the-Sea, California",Beaches,Beach & Waterfront
"Rapid City, South Dakota",Natural attractions,Nature & Outdoors
"Bradenton Beach, Florida",Beaches,Beach & Waterfront
"Big Bear Lake, California",Natural attractions,Nature & Outdoors
"Pensacola Beach, Florida",Beaches,Beach & Waterfront
"Horseshoe Lake, Arizona",Natural attractions,Nature & Outdoors
"Perry, Ohio",Residential,Residential
"Fayette County, Georgia",Residential,Residential
"Kansas City, Missouri",Urban Attractions,Urban & Downtown
"Falmouth, Massachusetts",Beaches,Beach & Waterfront
"Burlington, Vermont",Urban Attractions,Urban & Downtown
"Rancho Palos Verdes, California",Beaches,Beach & Waterfront
"Winter Park, Florida",Urban Attractions,Urban & Downtown
"Windermere, Florida",Residential,Residential
"Huntington Park, California",Residential,Residential
"Sammamish, Washington",Residential,Residential
"Fontana, California",Urban Attractions,Urban & Downtown
"Lookout Mountain, Tennessee",Natural attractions,Nature & Outdoors
"Kramer Junction, California",Natural attractions,Nature & Outdoors
"Eugene, Oregon",Urban Attractions,Urban & Downtown
"Halloran Springs, California",Natural attractions,Nature & Outdoors
"Lucerne Valley, California",Natural attractions,Nature & Outdoors
"Big Bear City, California",Natural attractions,Nature & Outdoors
"Lakeland, Florida",Residential,Residential
"Los Alamos, California",Natural attractions,Nature & Outdoors
"Gatlinburg, Tennessee",Natural attractions,Nature & Outdoors
"Aiken, South Carolina",Urban Attractions,Urban & Downtown
"Emigrant, Montana",Natural attractions,Nature & Outdoors
"Pacific Palisades, California",Beaches,Beach & Waterfront
"Honesdale, Pennsylvania",Residential,Residential
"Lake George, New York",Natural attractions,Nature & Outdoors
"Fisher Island, Florida",Beaches,Beach & Waterfront
"Harwood, Texas",Residential,Residential
"Caribbean Key, Florida",Beaches,Beach & Waterfront
"Elk Grove, Illinois",Residential,Residential
"Woodbridge, New Jersey",Residential,Residential
New York City Hall,Landmarks and Monuments,Historical & Cultural
"Scarborough, Maine",Beaches,Beach & Waterfront
"Mountain Village, Colorado",Skiing,Sports & Recreation
"Three Rivers, California",Natural attractions,Nature & Outdoors
"Telluride, Colorado",Skiing,Sports & Recreation
"Mercer Island, Washington",Residential,Residential
"St. Augustine, Florida",Historical,Historical & Cultural
"Imperial Beach, California",Beaches,Beach & Waterfront
"Burlington, Massachusetts",Residential,Residential
"Folsom, California",Residential,Residential
"Elk City, Oklahoma",Natural attractions,Nature & Outdoors
"Tempe, Arizona",Urban Attractions,Urban & Downtown
"Mount Major, New Hampshire",Natural attractions,Nature & Outdoors
"Mariposa, California",Natural attractions,Nature & Outdoors
"Blue Bell, Pennsylvania",Residential,Residential
"Dwight, Illinois",Residential,Residential
"South San Francisco, California",Urban Attractions,Urban & Downtown
"Port Jefferson, New York",Beaches,Beach & Waterfront
"Mexican Hat, Utah",Natural attractions,Nature & Outdoors
"Paradise, Nevada",Casinos,Entertainment & Culture
"Wayland, Massachusetts",Residential,Residential
"Madison, Wisconsin",Urban Attractions,Urban & Downtown
"Plainfield, Indiana",Residential,Residential
"Merrillville, Indiana",Residential,Residential
"Rachel, Nevada",Natural attractions,Nature & Outdoors
"Antelope, California",Residential,Residential
"Seaside, California",Beaches,Beach & Waterfront
"Severna Park, Maryland",Residential,Residential
"Sanibel, Florida",Beaches,Beach & Waterfront
"Newark, California",Residential,Residential
"The Jefferson, Washington, DC",Urban Attractions,Urban & Downtown
"Dubuque, Iowa",Urban Attractions,Urban & Downtown
"Maryland City, Maryland",Residential,Residential
"Burlington, Kentucky",Residential,Residential
Hilton St. Louis at the Ballpark,Hotels and Resorts,Travel & Hospitality
"Fresno County, California",Natural attractions,Nature & Outdoors
"La Vergne, Tennessee",Residential,Residential
"Mount Charleston, Nevada",Natural attractions,Nature & Outdoors
"Green Village, New Jersey",Residential,Residential
"Kayenta, Arizona",Natural attractions,Nature & Outdoors
"Highgate Springs, Vermont",Natural attractions,Nature & Outdoors
"San Mateo, California",Urban Attractions,Urban & Downtown
"Louisville, Colorado",Urban Attractions,Urban & Downtown
"Hampton, Virginia",Urban Attractions,Urban & Downtown
"Worcester, Massachusetts",Urban Attractions,Urban & Downtown
"Bridgehampton, New York",Beaches,Beach & Waterfront
"Topsail, North Carolina",Beaches,Beach & Waterfront
"Battery Park,New York",Urban Attractions,Urban & Downtown
"Hollywood, Florida",Beaches,Beach & Waterfront
"Troy, Michigan",Residential,Residential
"Salem, Massachusetts",Historical,Historical & Cultural
"Columbus, Georgia",Urban Attractions,Urban & Downtown
"Centreville, Virginia",Residential,Residential
"Ouray County, Colorado",Natural attractions,Nature & Outdoors
"Cabazon, California",Urban Attractions,Urban & Downtown
"Georgetown, Texas",Urban Attractions,Urban & Downtown
"Syracuse, New York",Urban Attractions,Urban & Downtown
"Taos, New Mexico",Historical,Historical & Cultural
"Bay Hill, Florida",Golf,Sports & Recreation
"Zephyr Cove, Nevada",Natural attractions,Nature & Outdoors
"Kalamazoo, Michigan",Urban Attractions,Urban & Downtown
"Lake Mary, Florida",Residential,Residential
"Boston, New York",Residential,Residential
"Rochelle Park, New Jersey",Residential,Residential
"Fredericksburg, Virginia",Historical,Historical & Cultural
"Downtown Columbus, Ohio",Urban Attractions,Urban & Downtown
"Mount Laguna, California",Natural attractions,Nature & Outdoors
"Sugarcreek, Ohio",Residential,Residential
"Carmel Valley, California",Wine Region,Entertainment & Culture
"Point Mugu, California",Natural attractions,Nature & Outdoors
"Maple Grove, Minnesota",Residential,Residential
"Meatpacking District, New York",Urban Attractions,Urban & Downtown
"Tupman, California",Natural attractions,Nature & Outdoors
"Marysville, Washington",Residential,Residential
"Mount Shasta, California",Natural attractions,Nature & Outdoors
"Catheys Valley, California",Natural attractions,Nature & Outdoors
"Rowland Heights, California",Residential,Residential
"Palm Bay, Florida",Residential,Residential
"Jackson, New Hampshire",Natural attractions,Nature & Outdoors
"Homestead, Florida",Natural attractions,Nature & Outdoors
"Hammond, Indiana",Residential,Residential
"Cape May, New Jersey",Beaches,Beach & Waterfront
"Stockbridge, Georgia",Residential,Residential
"Baton Rouge, Louisiana",Urban Attractions,Urban & Downtown
"Florence, Oregon",Natural attractions,Nature & Outdoors
"Tillamook, Oregon",Natural attractions,Nature & Outdoors
"Oak Creek, Wisconsin",Residential,Residential
"Green Bay, Wisconsin",Urban Attractions,Urban & Downtown
"Glen Oaks, New York",Residential,Residential
"Watertown, Massachusetts",Residential,Residential
"Eureka, California",Natural attractions,Nature & Outdoors
"North Las Vegas, Nevada",Casinos,Entertainment & Culture
"Geneva, Florida",Natural attractions,Nature & Outdoors
"Bridal Veil, Oregon",Natural attractions,Nature & Outdoors
"Saint Peters, Missouri",Residential,Residential
"Foster City, California",Residential,Residential
"Surfside, Florida",Beaches,Beach & Waterfront
"Phelan, California",Natural attractions,Nature & Outdoors
"Ash Fork, Arizona",Natural attractions,Nature & Outdoors
"North Rim, Arizona",Natural attractions,Nature & Outdoors
"Statue of Liberty, New York",Historical,Historical & Cultural
"Jerome, Arizona",Historical,Historical & Cultural
"Eatonville, Washington",Residential,Residential
"Convent Station, New Jersey",Residential,Residential
"Hermitage, Pennsylvania",Residential,Residential
"Nehalem, Oregon",Natural attractions,Nature & Outdoors
"Jenner, California",Natural attractions,Nature & Outdoors
"Venice, Florida",Beaches,Beach & Waterfront
"Hopkinton, Rhode Island",Residential,Residential
"Sarasota County, Florida",Beaches,Beach & Waterfront
"San Marcos, Texas",Urban Attractions,Urban & Downtown
"North Port, Florida",Residential,Residential
"Encinitas, California",Beaches,Beach & Waterfront
"Mojave Desert, California",Natural attractions,Nature & Outdoors
"Rochester, Minnesota",Urban Attractions,Urban & Downtown
"Galena, Maryland",Residential,Residential
"Bay City, Michigan",Urban Attractions,Urban & Downtown
"Grand Canyon National Park, Arizona",Natural attractions,Nature & Outdoors
"Lakeside, Ohio",Beaches,Beach & Waterfront
"Port Clinton, Ohio",Beaches,Beach & Waterfront
"Eminence, Missouri",Natural attractions,Nature & Outdoors
"Oceanside, California",Beaches,Beach & Waterfront
"Blue Diamond, Nevada",Natural attractions,Nature & Outdoors
"West Thumb, Wyoming",Natural attractions,Nature & Outdoors
"Canyon Village, Wyoming",Natural attractions,Nature & Outdoors
"Bridgewater, New Jersey",Residential,Residential
"West Valley City, Utah",Residential,Residential
"North Shore, Hawaii",Beaches,Beach & Waterfront
"Spokane, Washington",Urban Attractions,Urban & Downtown
"Topanga, California",Natural attractions,Nature & Outdoors
"Watchung, New Jersey",Residential,Residential
"Bryson City, North Carolina",Natural attractions,Nature & Outdoors
"Bristow, Virginia",Residential,Residential
"Greenville, North Carolina",Urban Attractions,Urban & Downtown
"Morrison, Colorado",Natural attractions,Nature & Outdoors
"Bird In Hand, Pennsylvania",Residential,Residential
"Palmyra, Pennsylvania",Residential,Residential
"Cedar Rapids, Iowa",Urban Attractions,Urban & Downtown
"Groveland, California",Natural attractions,Nature & Outdoors
"Caseville, Michigan",Beaches,Beach & Waterfront
"Cambria, California",Natural attractions,Nature & Outdoors
"Cedar City, Utah",Natural attractions,Nature & Outdoors
"Darwin, California",Natural attractions,Nature & Outdoors
"Wilmington, North Carolina",Beaches,Beach & Waterfront
"Silverdale, Washington",Residential,Residential
"Port Orchard, Washington",Residential,Residential
"Silver City, Idaho",Natural attractions,Nature & Outdoors
"Parsippany, New Jersey",Residential,Residential
"San Carlos, California",Residential,Residential
"Monroe, Utah",Natural attractions,Nature & Outdoors
"Austin, Nevada",Natural attractions,Nature & Outdoors
"Sunset Bay, New York",Beaches,Beach & Waterfront
"Oak Tree, New Jersey",Residential,Residential
"Bishop, California",Natural attractions,Nature & Outdoors
"Clackamas, Oregon",Residential,Residential
"Bagdad, Arizona",Natural attractions,Nature & Outdoors
"Niagara, New York",Natural attractions,Nature & Outdoors
"Oak Park, Illinois",Residential,Residential
"Chandler, Arizona",Urban Attractions,Urban & Downtown
"Twin Peaks, California",Natural attractions,Nature & Outdoors
"Cody, Wyoming",Natural attractions,Nature & Outdoors
"Hilton Head Island, South Carolina",Beaches,Beach & Waterfront
"Myrtle Beach, South Carolina",Beaches,Beach & Waterfront
"Vail, Colorado",Skiing,Sports & Recreation
"Red Cliff, Colorado",Skiing,Sports & Recreation
"Saint Joseph, Michigan",Beaches,Beach & Waterfront
"San Luis Obispo, California",Urban Attractions,Urban & Downtown
"Old Orchard Beach, Maine",Beaches,Beach & Waterfront
"Pacific, California",Residential,Residential
"Kingman, Kansas",Residential,Residential
"Benton Hot Springs, California",Natural attractions,Nature & Outdoors
"Cumberland, Rhode Island",Residential,Residential
"Severn, Maryland",Residential,Residential
"Marathon, Texas",Natural attractions,Nature & Outdoors
"Grimes, California",Residential,Residential
"Lake, Wyoming",Natural attractions,Nature & Outdoors
"Greensboro, North Carolina",Urban Attractions,Urban & Downtown
"Everett, Massachusetts",Residential,Residential
"Oceano Beach, California",Beaches,Beach & Waterfront
"Lincoln, California",Residential,Residential
"Woodland Hills, California",Residential,Residential
"Vero Beach South, Florida",Beaches,Beach & Waterfront
"The Mammoth Site of Hot Springs, South Dakota",Natural attractions,Nature & Outdoors
"Ouray, Colorado",Natural attractions,Nature & Outdoors
"North Ogden, Utah",Residential,Residential
"Boca Grande, Florida",Beaches,Beach & Waterfront
"La Crosse, Wisconsin",Urban Attractions,Urban & Downtown
"Galena, Illinois",Urban Attractions,Urban & Downtown
"Mount Hood, Oregon",Natural attractions,Nature & Outdoors
"Duluth, Minnesota",Urban Attractions,Urban & Downtown
"Dickinson, North Dakota",Urban Attractions,Urban & Downtown
"Dodge City, Kansas",Historical,Historical & Cultural
"Tacoma, Washington",Cultural attractions,Entertainment & Culture
"Hermosa Beach, California",Beaches,Beach & Waterfront
"Overland Park, Kansas",Residential,Residential
"Oakland Park, Florida",Residential,Residential
"Saddle Brook, New Jersey",Residential,Residential
"Atlantic Beach, Florida",Beaches,Beach & Waterfront
"Saratoga, California",Residential,Residential
"Carolina Beach, North Carolina",Beaches,Beach & Waterfront
"Robbinsville, New Jersey",Residential,Residential
"Swansboro, North Carolina",Beaches,Beach & Waterfront
"Amarillo, Texas",Urban Attractions,Urban & Downtown
"Nobleboro, Maine",Residential,Residential
Lego Store New York City,Shopping,Shopping & Dining
"Yosemite Lakes Park, California",Natural attractions,Nature & Outdoors
"Oro Grande, California",Natural attractions,Nature & Outdoors
"Riverside, California",Urban Attractions,Urban & Downtown
"Germantown, Maryland",Residential,Residential
"Jacksonville Beach, Florida",Beaches,Beach & Waterfront
"Fairhaven, Massachusetts",Residential,Residential
"Hall County, Georgia",Residential,Residential
"New Vrindaban, West Virginia",Historical,Historical & Cultural
"Baldwin Park, California",Residential,Residential
"Beaumont, California",Residential,Residential
"Jamestown, New York",Historical,Historical & Cultural
"West, Texas",Residential,Residential
"Vancouver, Washington",Residential,Residential
"Newton, New Jersey",Residential,Residential
"Miami South Beach,Florida",Beaches,Beach & Waterfront
"Yosemite West, California",Natural attractions,Nature & Outdoors
"Champaign, Illinois",Urban Attractions,Urban & Downtown
"Bass Lake, California",Natural attractions,Nature & Outdoors
"Blue Ridge, Georgia",Natural attractions,Nature & Outdoors
"Gualala, California",Beaches,Beach & Waterfront
"Sea Ranch, California",Beaches,Beach & Waterfront
"Moosehead, Maine",Natural attractions,Nature & Outdoors
"Alpharetta, Georgia",Residential,Residential
"El Segundo, California",Residential,Residential
"Holbrook, Arizona",Natural attractions,Nature & Outdoors
"Ocean City, Maryland",Beaches,Beach & Waterfront
"Avila Beach, California",Beaches,Beach & Waterfront
"Vanderbilt Beach, Florida",Beaches,Beach & Waterfront
"East Hampton, New York",Beaches,Beach & Waterfront
"East Hampton , New York",Beaches,Beach & Waterfront
"Bryce Canyon National Park, Utah",Natural attractions,Nature & Outdoors
"North Hollywood, California",Urban Attractions,Urban & Downtown
"Shelter Island , New York",Beaches,Beach & Waterfront
"Pagosa Springs, Colorado",Natural attractions,Nature & Outdoors
"Toledo, Ohio",Urban Attractions,Urban & Downtown
"Hanover, New Hampshire",Urban Attractions,Urban & Downtown
"Siesta Key, Florida",Beaches,Beach & Waterfront
"Santo Domingo Pueblo, New Mexico",Historical,Historical & Cultural
"Williamsville, New York",Residential,Residential
"Thetford Center, Vermont",Residential,Residential
"Cave-In-Rock, Illinois",Natural attractions,Nature & Outdoors
"Westbrook, Connecticut",Beaches,Beach & Waterfront
"University Park, Texas",Residential,Residential
"Pfafftown, North Carolina",Residential,Residential
"College Park, Maryland",Residential,Residential
"Lincoln, Nebraska",Urban Attractions,Urban & Downtown
"Fire Island Pines, New York",Beaches,Beach & Waterfront
"Arizona City, Arizona",Residential,Residential
"Paramus, New Jersey",Residential,Residential
"Dry Lake, Nevada",Natural attractions,Nature & Outdoors
"Mercer County, West Virginia",Residential,Residential
"Hot Springs, New Mexico",Natural attractions,Nature & Outdoors
"Gardena, California",Residential,Residential
"Cayucos, California",Beaches,Beach & Waterfront
"Corpus Christi, Texas",Beaches,Beach & Waterfront
"Portland, Texas",Residential,Residential
"Bryce Canyon, Utah",Natural attractions,Nature & Outdoors
"Gainesville, Texas",Residential,Residential
"Middleton, Wisconsin",Residential,Residential
"Astoria, Oregon",Natural attractions,Nature & Outdoors
"Arch Cape, Oregon",Beaches,Beach & Waterfront
"Springdale, Utah",Natural attractions,Nature & Outdoors
"Manzanita, Oregon",Beaches,Beach & Waterfront
"San Clemente, California",Beaches,Beach & Waterfront
"Granbury, Texas",Residential,Residential
"Boerne, Texas",Residential,Residential
"Grand Canyon West, Arizona",Natural attractions,Nature & Outdoors
"National Harbor, Maryland",Urban Attractions,Urban & Downtown
"Bethesda, Maryland",Residential,Residential
"Mackinac Island, Michigan",Historical,Historical & Cultural
"Wenatchee, Washington",Residential,Residential
"Salem, Oregon",Urban Attractions,Urban & Downtown
"Frankenmuth, Michigan",Urban Attractions,Urban & Downtown
"Concord, Massachusetts",Historical,Historical & Cultural
"Yucca Valley, California",Natural attractions,Nature & Outdoors
"SeaTac, Washington",Residential,Residential
"Jay, Florida",Residential,Residential
"Compton, California",Urban Attractions,Urban & Downtown
"Covina, California",Residential,Residential
"Aquinnah, Massachusetts",Beaches,Beach & Waterfront
"Oak Bluffs, Massachusetts",Beaches,Beach & Waterfront
"Allen, Texas",Residential,Residential
"Kansas, Oklahoma",Residential,Residential
"Somersworth, New Hampshire",Residential,Residential
"Medina, Texas",Residential,Residential
"Bedford, Massachusetts",Residential,Residential
"Paducah, Kentucky",Urban Attractions,Urban & Downtown
"Hyde Park, Utah",Residential,Residential
"North Logan, Utah",Residential,Residential
"Friday Harbor, Washington",Beaches,Beach & Waterfront
"Cape Neddick, Maine",Beaches,Beach & Waterfront
"Rye, New Hampshire",Beaches,Beach & Waterfront
"Yakima, Washington",Urban Attractions,Urban & Downtown
"Buena Park, California",Urban Attractions,Urban & Downtown
"Lee Vining, California",Natural attractions,Nature & Outdoors
"Lexington, South Carolina",Residential,Residential
"Glendale, Utah",Natural attractions,Nature & Outdoors
"Rancho Cucamonga, California",Residential,Residential
"Golden Beach, Florida",Beaches,Beach & Waterfront
"North Chelmsford, Massachusetts",Residential,Residential
"Panama City, Florida",Beaches,Beach & Waterfront
"Painted Hills, Oregon",Natural attractions,Nature & Outdoors
"Barstow, California",Natural attractions,Nature & Outdoors
"Fishs Eddy, New York",Residential,Residential
"Wawona, California",Natural attractions,Nature & Outdoors
"Zionville, North Carolina",Residential,Residential
"Coyote Buttes South, Arizona",Natural attractions,Nature & Outdoors
"Monument Valley, Utah",Natural attractions,Nature & Outdoors
"Alabama Hills, California",Natural attractions,Nature & Outdoors
"Playa Del Rey, California",Beaches,Beach & Waterfront
"South Beach, Florida",Beaches,Beach & Waterfront
"Flatiron Building, New York City",Urban Attractions,Urban & Downtown
"Alameda, California",Residential,Residential
"Winston-Salem, North Carolina",Urban Attractions,Urban & Downtown
"Davie County, North Carolina",Residential,Residential
"Montara, California",Beaches,Beach & Waterfront
"Terre Haute, Indiana",Urban Attractions,Urban & Downtown
"Windsor, Connecticut",Residential,Residential
"Glenbrook, Nevada",Beaches,Beach & Waterfront
"Dos Palos, California",Residential,Residential
"Harlemville, New York",Residential,Residential
"Columbia , South Carolina",Urban Attractions,Urban & Downtown
"West Chester, Pennsylvania",Residential,Residential
"Oregon City, Oregon",Urban Attractions,Urban & Downtown
"Alhambra, California",Residential,Residential
"Suttons Bay, Michigan",Beaches,Beach & Waterfront
"Boynton Beach, Florida",Beaches,Beach & Waterfront
"New Haven, Connecticut",Urban Attractions,Urban & Downtown
"Anaheim, California",Urban Attractions,Urban & Downtown
"Venice Beach, California",Beaches,Beach & Waterfront
"Mill Valley, California",Residential,Residential
"Arcosanti, Arizona",Natural attractions,Nature & Outdoors
"Provo, Utah",Urban Attractions,Urban & Downtown
"San Lorenzo, California",Residential,Residential
"Yemassee, South Carolina",Residential,Residential
"Pembroke Pines, Florida",Residential,Residential
"Thornton, New Hampshire",Residential,Residential
"Disneyland, California",Theme parks,Amusement & Theme Parks
"Rockford, Michigan",Residential,Residential
"Brawley, California",Residential,Residential
"Simi Valley, California",Residential,Residential
"Mountain View, California",Residential,Residential
"Newark, Delaware",Residential,Residential
"New Castle County, Delaware",Residential,Residential
"Lake Placid, New York",Natural attractions,Nature & Outdoors
"Fairfax, Virginia",Residential,Residential
"Chantilly, Virginia",Residential,Residential
"Round Hill, Virginia",Residential,Residential
"Winslow, Arizona",Natural attractions,Nature & Outdoors
"Liverpool, New York",Residential,Residential
"Ridgeland, Mississippi",Residential,Residential
"Tracy, California",Residential,Residential
"Apache Junction, Arizona",Natural attractions,Nature & Outdoors
"Lone Tree, Colorado",Residential,Residential
"Castle Pines Village, Colorado",Residential,Residential
"Castle Rock, Colorado",Residential,Residential
"Cedar Key, Florida",Beaches,Beach & Waterfront
"Des Moines, Iowa",Urban Attractions,Urban & Downtown
"McLean, Virginia",Residential,Residential
"Ellenton, Florida",Residential,Residential
"Linthicum Heights, Maryland",Residential,Residential
"Beacon, New York",Residential,Residential
"Springfield, Virginia",Residential,Residential
"Fox Lake, Illinois",Residential,Residential
"Juliette, Georgia",Residential,Residential
"Seaside, Oregon",Beaches,Beach & Waterfront
"Peach Springs, Arizona",Natural attractions,Nature & Outdoors
"Deerfield Beach, Florida",Beaches,Beach & Waterfront
"Coconut Creek, Florida",Residential,Residential
"Clearwater Beach, Florida",Beaches,Beach & Waterfront
New York City Subway,Transportation,Travel & Transit
"Peachtree Corners, Georgia",Residential,Residential
"San Pedro, California",Urban Attractions,Urban & Downtown
"Copper Harbor, Michigan",Beaches,Beach & Waterfront
"Saint Ignace, Michigan",Beaches,Beach & Waterfront
"Canyon Diablo, Arizona",Natural attractions,Nature & Outdoors
"Lexington, Nebraska",Residential,Residential
"Page Lake Powell, Arizona",Natural attractions,Nature & Outdoors
"Evanston, Illinois",Residential,Residential
"Serendipity, New York City",Urban Attractions,Urban & Downtown
"Canyonlands National Park, Utah",Natural attractions,Nature & Outdoors
"Corona, California",Residential,Residential
"Santa Ana, California",Residential,Residential
"Hoover Dam, Arizona",Natural attractions,Nature & Outdoors
"South Rockwood, Michigan",Residential,Residential
"Bonita Beach, Florida",Beaches,Beach & Waterfront
"Opal Creek, Oregon",Natural attractions,Nature & Outdoors
"Grand Teton National Park, Wyoming",Natural attractions,Nature & Outdoors
"Cooper City, Florida",Residential,Residential
"Ocean Shores, Washington",Beaches,Beach & Waterfront
"Bay Bridge, California",Urban Attractions,Urban & Downtown
"Phillipsburg, New Jersey",Residential,Residential
"Point Reyes, California",Natural attractions,Nature & Outdoors
"Keywest, Florida",Beaches,Beach & Waterfront
"Salkum, Washington",Residential,Residential
"Conshohocken, Pennsylvania",Residential,Residential
"Manassas, Virginia",Historical,Historical & Cultural
"Montross, Virginia",Historical,Historical & Cultural
"Central Park West Side Manhattan, New York",Urban Attractions,Urban & Downtown
"Saratoga Springs, New York",Urban Attractions,Urban & Downtown
"Chimney Rock, North Carolina",Natural attractions,Nature & Outdoors
"Oak Alley, Louisiana",Historical,Historical & Cultural
"Highline, New York City",Urban Attractions,Urban & Downtown
"Winchester, Virginia",Historical,Historical & Cultural
"Green River, Utah",Natural attractions,Nature & Outdoors
"Glacier National Park, Montana",Natural attractions,Nature & Outdoors
"Rockport, Maine",Beaches,Beach & Waterfront
"League City, Texas",Residential,Residential
"North Palm Beach, Florida",Beaches,Beach & Waterfront
"Garland, Texas",Residential,Residential
"Port Townsend, Washington",Beaches,Beach & Waterfront
"Hermiston, Oregon",Residential,Residential
"Chattanooga, Tennessee",Urban Attractions,Urban & Downtown
"Madison, Mississippi",Residential,Residential
"Brady, Texas",Residential,Residential
"Coos Bay, Oregon",Beaches,Beach & Waterfront
"Hawley, Pennsylvania",Residential,Residential
"Wingdale, New York",Residential,Residential
"Palm City, Florida",Residential,Residential
"Mayville, New York",Residential,Residential
"Oceano, California",Beaches,Beach & Waterfront
"Beach Haven, New Jersey",Beaches,Beach & Waterfront
"Gales Creek, Oregon",Residential,Residential
"Lemont, Illinois",Residential,Residential
"Essex, Connecticut",Beaches,Beach & Waterfront
"Garner, Iowa",Residential,Residential
"New York City, USA",Urban Attractions,Urban & Downtown
"Tybee Island, Georgia",Beaches,Beach & Waterfront
"Cape Coral, Florida",Beaches,Beach & Waterfront
